CompanyCode
ADIN
ALK
ALKB
AMBR
AMEH
APTK
ATPP
AUMK
BANA
BGOR
BIKF
BIM
BLTU
CBNG
CEVI
CKB
CKBKO
DEBA
DIMI
EDST
ENER
EUHA
EVRO
FAKM
FERS
FUBT
GALE
GDKM
GECK
GECT
GRDN
GRNT
GRZD
GTC
GTRG
IJUG
INB
INDI
INHO
INOV
INPR
INTP
JAKO
JULI
JUSK
KARO
KJUBI
KKFI
KLST
KMB
KMPR
KOMU
KONF
KONZ
KPSS
KVAS
LOTO
LOZP
MAGP
MAKP
MAKS
MB
MERM
MKSD
MLKR
MODA
MPOL
MPT
MTUR
MZHE
MZPU
NEME
NOSK
OILK
OKTA
OMOS
OPFO
OPTK
ORAN
OSPO
OTEK
PKB
POPK
PPIV
PROT
RADE
REPL
RIMI
RZEK
RZIT
RZLE
RZLV
RZTK
RZUG
RZUS
SBT
SDOM
SIL
SKP
SLAV
SNBT
SNBTO
SOLN
SPAZ
SPAZP
SPOL
SSPR
STB
STBP
STIL
STOK
TAJM
TASK
TEAL
TEHN
TEL
TETE
TIGA
TIKV
TKPR
TKVS
TNB
TRDB
TRPS
TRUB
TSMP
TTK
UNI
USJE
VARG
VITA
VROS
VSC
VTKS
ZAS
ZILU
ZILUP
ZKAR
ZPKO
ZPOG
ZSIL
